,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.05,0.06,0.08,0.09,0.17,0.28,0.25,0.44,0.48,0.55,0.7
noZ,0.03,0.1,0.08,0.07,0.2,0.21,0.27,0.39,0.37,0.49,0.51
XY_Z,0.05,0.06,0.08,0.09,0.17,0.28,0.25,0.44,0.48,0.55,0.7
XY_meanZ,0.05,0.05,0.08,0.08,0.17,0.29,0.23,0.44,0.47,0.55,0.7
XY_noZ,0.03,0.02,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Char_Z,0.03,0.05,0.02,0.09,0.08,0.04,0.06,0.04,0.07,0.09,0.07
Char_meanZ,0.04,0.05,0.03,0.04,0.02,0.04,0.06,0.07,0.06,0.11,0.07
