,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.07,0.05,0.08,0.13,0.26,0.3,0.51,0.61,0.74,0.88,0.94
noZ,0.07,0.11,0.12,0.21,0.4,0.43,0.63,0.71,0.8,0.94,0.97
XY_Z,0.06,0.05,0.07,0.13,0.25,0.3,0.51,0.6,0.73,0.87,0.94
XY_meanZ,0.07,0.04,0.08,0.14,0.31,0.32,0.52,0.64,0.76,0.89,0.94
XY_noZ,0.07,0.11,0.12,0.21,0.4,0.43,0.63,0.71,0.8,0.94,0.97
Char_Z,0.04,0.02,0.03,0.09,0.05,0.08,0.05,0.09,0.07,0.04,0.15
Char_meanZ,0.06,0.03,0.06,0.09,0.05,0.04,0.04,0.09,0.1,0.04,0.09
