,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.11,0.05,0.1,0.15,0.2,0.23,0.28,0.37,0.37,0.51,0.61
noZ,0.06,0.05,0.08,0.1,0.13,0.15,0.23,0.31,0.33,0.34,0.45
XY_Z,0.08,0.05,0.09,0.11,0.13,0.13,0.22,0.33,0.32,0.46,0.58
XY_meanZ,0.09,0.04,0.09,0.12,0.17,0.18,0.24,0.34,0.33,0.45,0.57
XY_noZ,0.07,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Char_Z,0.09,0.07,0.08,0.07,0.07,0.08,0.05,0.05,0.09,0.07,0.13
Char_meanZ,0.09,0.09,0.07,0.04,0.05,0.09,0.1,0.07,0.03,0.12,0.06
