,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.05,0.15,0.2,0.39,0.39,0.61,0.7,0.76,0.88,0.96,0.95
noZ,0.04,0.15,0.2,0.39,0.39,0.61,0.71,0.76,0.88,0.96,0.95
XY_Z,0.05,0.15,0.2,0.39,0.39,0.61,0.7,0.76,0.88,0.96,0.95
XY_meanZ,0.04,0.15,0.2,0.39,0.39,0.61,0.71,0.76,0.88,0.96,0.95
XY_noZ,0.04,0.15,0.2,0.39,0.39,0.61,0.71,0.76,0.88,0.96,0.95
Char_Z,0.05,0.05,0.06,0.06,0.07,0.05,0.04,0.05,0.06,0.07,0.13
Char_meanZ,0.05,0.06,0.03,0.03,0.07,0.09,0.05,0.04,0.17,0.04,0.08
