,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.03,0.07,0.08,0.13,0.17,0.28,0.38,0.4,0.47,0.45,0.56
noZ,0.05,0.09,0.09,0.12,0.21,0.26,0.33,0.4,0.41,0.51,0.56
XY_Z,0.03,0.07,0.08,0.13,0.17,0.28,0.38,0.4,0.47,0.45,0.56
XY_meanZ,0.03,0.07,0.08,0.13,0.18,0.29,0.38,0.4,0.47,0.44,0.56
XY_noZ,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Char_Z,0.11,0.09,0.07,0.07,0.08,0.04,0.03,0.02,0.04,0.03,0.03
Char_meanZ,0.03,0.08,0.07,0.07,0.04,0.07,0.05,0.07,0.1,0.04,0.1
