,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.05,0.04,0.06,0.09,0.28,0.23,0.41,0.61,0.69,0.84,0.79
noZ,0.06,0.06,0.05,0.13,0.28,0.24,0.34,0.54,0.6,0.79,0.85
XY_Z,0.05,0.04,0.06,0.09,0.28,0.23,0.41,0.61,0.69,0.84,0.79
XY_meanZ,0.05,0.04,0.07,0.09,0.29,0.23,0.42,0.61,0.69,0.83,0.79
XY_noZ,0.07,0.02,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Char_Z,0.02,0.03,0.05,0.04,0.06,0.08,0.06,0.03,0.08,0.06,0.08
Char_meanZ,0.03,0.08,0.05,0.05,0.05,0.08,0.01,0.05,0.05,0.04,0.09
