,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.07,0.04,0.04,0.15,0.27,0.34,0.54,0.6,0.75,0.85,0.89
noZ,0.07,0.05,0.09,0.2,0.35,0.41,0.64,0.69,0.79,0.91,0.91
XY_Z,0.07,0.04,0.04,0.15,0.27,0.34,0.54,0.6,0.75,0.85,0.89
XY_meanZ,0.07,0.04,0.04,0.15,0.27,0.33,0.54,0.6,0.75,0.85,0.89
XY_noZ,0.07,0.05,0.09,0.2,0.35,0.41,0.64,0.69,0.79,0.91,0.91
Char_Z,0.03,0.06,0.09,0.07,0.04,0.03,0.08,0.05,0.13,0.09,0.05
Char_meanZ,0.05,0.04,0.07,0.08,0.08,0.02,0.07,0.07,0.08,0.05,0.07
