,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.1,0.06,0.07,0.05,0.01,0.0,0.0,0.0,0.0,0.01,0.01
noZ,0.61,0.47,0.42,0.26,0.16,0.14,0.04,0.03,0.03,0.01,0.01
XY_Z,0.05,0.03,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.01,0.0
XY_meanZ,0.61,0.47,0.42,0.26,0.16,0.14,0.04,0.03,0.03,0.01,0.01
XY_noZ,0.61,0.47,0.42,0.26,0.16,0.14,0.04,0.03,0.03,0.01,0.01
Char_Z,0.05,0.06,0.05,0.03,0.08,0.07,0.05,0.07,0.1,0.1,0.12
Char_meanZ,0.06,0.07,0.04,0.1,0.05,0.06,0.03,0.06,0.07,0.07,0.12
