,0.0,0.01,0.02,0.030000000000000006,0.04,0.05,0.06000000000000001,0.07,0.08,0.09,0.1
cor_Z,0.07,0.09,0.08,0.14,0.27,0.4,0.54,0.56,0.75,0.75,0.89
noZ,0.07,0.1,0.15,0.21,0.33,0.45,0.61,0.63,0.78,0.84,0.91
XY_Z,0.07,0.09,0.08,0.14,0.27,0.4,0.54,0.56,0.75,0.75,0.89
XY_meanZ,0.06,0.09,0.08,0.14,0.27,0.4,0.56,0.56,0.75,0.76,0.89
XY_noZ,0.07,0.1,0.15,0.21,0.33,0.45,0.61,0.63,0.78,0.84,0.91
Char_Z,0.02,0.04,0.02,0.1,0.06,0.03,0.1,0.04,0.02,0.07,0.06
Char_meanZ,0.04,0.03,0.07,0.02,0.06,0.07,0.06,0.04,0.08,0.06,0.1
