,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.07,0.08,0.19,0.27,0.37,0.44,0.61,0.75,0.79,0.91,0.94
noZ,0.07,0.1,0.2,0.26,0.41,0.46,0.66,0.77,0.82,0.92,0.94
XY_Z,0.07,0.07,0.19,0.25,0.37,0.43,0.59,0.73,0.78,0.91,0.94
XY_meanZ,0.07,0.1,0.2,0.26,0.41,0.46,0.66,0.77,0.82,0.92,0.94
XY_noZ,0.07,0.1,0.2,0.26,0.41,0.46,0.66,0.77,0.82,0.92,0.94
Char_Z,0.05,0.05,0.02,0.05,0.07,0.05,0.06,0.05,0.05,0.06,0.07
Char_meanZ,0.05,0.06,0.09,0.1,0.08,0.09,0.05,0.07,0.05,0.09,0.07
