,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.04,0.03,0.1,0.14,0.31,0.45,0.57,0.64,0.7,0.85,0.99
noZ,0.1,0.08,0.17,0.25,0.39,0.51,0.67,0.72,0.8,0.87,0.99
XY_Z,0.04,0.03,0.1,0.14,0.31,0.45,0.57,0.63,0.7,0.85,0.99
XY_meanZ,0.04,0.05,0.11,0.15,0.3,0.46,0.56,0.65,0.7,0.84,0.99
XY_noZ,0.1,0.08,0.17,0.25,0.39,0.51,0.67,0.72,0.8,0.87,0.99
Char_Z,0.03,0.06,0.05,0.07,0.04,0.04,0.1,0.09,0.04,0.03,0.12
Char_meanZ,0.0,0.04,0.05,0.05,0.06,0.03,0.06,0.06,0.04,0.07,0.09
