,0.0,0.01,0.02,0.030000000000000006,0.04,0.05,0.06000000000000001,0.07,0.08,0.09,0.1
cor_Z,0.74,0.07,0.08,0.13,0.2,0.26,0.33,0.36,0.5,0.49,0.48
noZ,0.02,0.07,0.07,0.08,0.19,0.26,0.29,0.37,0.43,0.52,0.49
XY_Z,0.07,0.07,0.07,0.12,0.19,0.26,0.33,0.35,0.5,0.49,0.48
XY_meanZ,0.07,0.08,0.08,0.12,0.18,0.26,0.33,0.36,0.5,0.49,0.49
XY_noZ,0.08,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Char_Z,0.17,0.03,0.05,0.05,0.03,0.08,0.02,0.06,0.04,0.09,0.09
Char_meanZ,0.41,0.1,0.0,0.02,0.04,0.05,0.06,0.04,0.01,0.07,0.05
