,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.03,0.07,0.11,0.17,0.23,0.35,0.56,0.57,0.78,0.84,0.92
noZ,0.06,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XY_Z,0.03,0.07,0.11,0.17,0.23,0.35,0.56,0.57,0.78,0.84,0.92
XY_meanZ,0.03,0.07,0.11,0.17,0.23,0.36,0.56,0.58,0.77,0.84,0.92
XY_noZ,0.06,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Char_Z,0.05,0.06,0.06,0.07,0.09,0.07,0.11,0.08,0.04,0.08,0.05
Char_meanZ,0.06,0.07,0.05,0.05,0.04,0.07,0.03,0.05,0.07,0.05,0.06
