,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.04,0.09,0.15,0.12,0.24,0.25,0.41,0.59,0.75,0.75,0.9
noZ,0.05,0.07,0.12,0.1,0.17,0.22,0.36,0.43,0.5,0.45,0.51
XY_Z,0.04,0.09,0.15,0.12,0.24,0.25,0.41,0.59,0.75,0.75,0.9
XY_meanZ,0.04,0.11,0.14,0.13,0.2,0.27,0.46,0.59,0.75,0.76,0.9
XY_noZ,0.03,0.02,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
Char_Z,0.06,0.04,0.09,0.03,0.08,0.05,0.03,0.03,0.05,0.07,0.07
Char_meanZ,0.07,0.05,0.02,0.04,0.04,0.08,0.05,0.06,0.03,0.09,0.02
