,2,5,10,16,25,50
double_Z,0.0,0.0,0.02,0.01,0.02,0.07
double_meanZ,0.83,0.23,0.11,0.04,0.04,0.1
noZ,0.87,0.33,0.13,0.09,0.06,0.12
