,0.0,0.01,0.02,0.030000000000000006,0.04,0.05,0.06000000000000001,0.07,0.08,0.09,0.1
cor_Z,0.19,0.11,0.14,0.24,0.38,0.48,0.64,0.66,0.67,0.81,0.96
noZ,0.19,0.11,0.15,0.24,0.38,0.48,0.64,0.66,0.67,0.81,0.96
XY_Z,0.19,0.11,0.15,0.24,0.38,0.48,0.64,0.66,0.67,0.81,0.96
XY_meanZ,0.19,0.11,0.15,0.24,0.38,0.48,0.64,0.66,0.67,0.81,0.96
XY_noZ,0.19,0.11,0.15,0.24,0.38,0.48,0.64,0.66,0.67,0.81,0.96
Char_Z,0.0,0.09,0.06,0.06,0.04,0.09,0.05,0.07,0.07,0.09,0.07
Char_meanZ,0.09,0.07,0.01,0.02,0.05,0.05,0.05,0.11,0.05,0.06,0.08
