,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.03,0.1,0.11,0.4,0.38,0.46,0.67,0.68,0.88,0.93,0.96
noZ,0.11,0.15,0.16,0.48,0.49,0.63,0.74,0.79,0.93,0.94,0.98
XY_Z,0.02,0.09,0.09,0.38,0.35,0.44,0.66,0.67,0.88,0.93,0.96
XY_meanZ,0.11,0.15,0.16,0.48,0.49,0.63,0.74,0.79,0.93,0.94,0.98
XY_noZ,0.11,0.15,0.16,0.48,0.49,0.63,0.74,0.79,0.93,0.94,0.98
Char_Z,0.07,0.04,0.07,0.07,0.05,0.06,0.04,0.07,0.09,0.08,0.05
Char_meanZ,0.09,0.09,0.02,0.03,0.03,0.13,0.08,0.11,0.12,0.08,0.1
