,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.04,0.08,0.1,0.15,0.26,0.53,0.56,0.68,0.78,0.81,0.91
noZ,0.1,0.17,0.22,0.31,0.46,0.66,0.71,0.81,0.88,0.93,0.97
XY_Z,0.02,0.07,0.1,0.08,0.2,0.45,0.52,0.62,0.72,0.79,0.9
XY_meanZ,0.05,0.12,0.15,0.23,0.34,0.56,0.61,0.74,0.83,0.86,0.95
XY_noZ,0.1,0.17,0.22,0.31,0.46,0.66,0.71,0.81,0.88,0.93,0.97
Char_Z,0.07,0.11,0.09,0.11,0.07,0.1,0.11,0.16,0.16,0.14,0.15
Char_meanZ,0.03,0.03,0.05,0.03,0.02,0.03,0.03,0.1,0.08,0.1,0.07
