,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.03,0.1,0.09,0.1,0.23,0.41,0.49,0.66,0.77,0.76,0.96
noZ,0.07,0.11,0.17,0.21,0.37,0.48,0.6,0.78,0.81,0.84,0.96
XY_Z,0.03,0.1,0.09,0.09,0.23,0.4,0.49,0.66,0.76,0.76,0.95
XY_meanZ,0.04,0.08,0.1,0.12,0.23,0.43,0.51,0.66,0.76,0.77,0.96
XY_noZ,0.07,0.11,0.17,0.21,0.37,0.48,0.6,0.78,0.81,0.84,0.96
Char_Z,0.03,0.04,0.05,0.06,0.03,0.04,0.07,0.1,0.05,0.05,0.08
Char_meanZ,0.03,0.08,0.05,0.04,0.03,0.06,0.09,0.09,0.06,0.07,0.07
