,0.0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25
cor_Z,0.27,0.41,0.41,0.48,0.64,0.64,0.68,0.84,0.87,0.88,0.89
noZ,0.27,0.41,0.42,0.48,0.64,0.65,0.68,0.84,0.88,0.88,0.89
XY_Z,0.27,0.41,0.41,0.48,0.64,0.64,0.68,0.84,0.87,0.88,0.89
XY_meanZ,0.27,0.41,0.42,0.48,0.64,0.65,0.68,0.84,0.88,0.88,0.89
XY_noZ,0.27,0.41,0.42,0.48,0.64,0.65,0.68,0.84,0.88,0.88,0.89
Char_Z,0.03,0.05,0.03,0.13,0.08,0.09,0.08,0.08,0.07,0.04,0.09
Char_meanZ,0.04,0.02,0.05,0.06,0.02,0.07,0.05,0.08,0.08,0.07,0.05
