,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.04,0.05,0.03,0.12,0.17,0.22,0.29,0.36,0.37,0.52,0.52
noZ,0.07,0.1,0.02,0.1,0.13,0.22,0.25,0.26,0.32,0.41,0.38
XY_Z,0.04,0.05,0.03,0.12,0.17,0.22,0.29,0.36,0.37,0.52,0.52
XY_meanZ,0.02,0.06,0.04,0.1,0.16,0.22,0.29,0.29,0.39,0.5,0.51
XY_noZ,0.04,0.05,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
Char_Z,0.07,0.09,0.16,0.09,0.04,0.06,0.1,0.17,0.15,0.13,0.16
Char_meanZ,0.04,0.09,0.09,0.09,0.08,0.03,0.07,0.06,0.11,0.08,0.1
