,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.07,0.05,0.09,0.14,0.32,0.5,0.53,0.69,0.75,0.89,0.91
noZ,0.08,0.06,0.12,0.23,0.4,0.52,0.61,0.7,0.82,0.93,0.94
XY_Z,0.07,0.05,0.09,0.14,0.32,0.5,0.53,0.69,0.75,0.89,0.91
XY_meanZ,0.07,0.05,0.09,0.14,0.31,0.48,0.53,0.69,0.75,0.89,0.91
XY_noZ,0.08,0.06,0.12,0.23,0.4,0.52,0.61,0.7,0.82,0.93,0.94
Char_Z,0.07,0.02,0.06,0.07,0.04,0.06,0.04,0.05,0.09,0.05,0.12
Char_meanZ,0.01,0.03,0.07,0.08,0.05,0.04,0.06,0.08,0.11,0.04,0.08
