,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.03,0.11,0.11,0.18,0.27,0.48,0.61,0.62,0.78,0.88,0.92
noZ,0.03,0.12,0.12,0.2,0.31,0.53,0.65,0.62,0.77,0.89,0.92
XY_Z,0.02,0.11,0.11,0.18,0.27,0.48,0.61,0.62,0.78,0.88,0.92
XY_meanZ,0.03,0.11,0.11,0.19,0.29,0.48,0.61,0.62,0.77,0.89,0.92
XY_noZ,0.03,0.12,0.12,0.2,0.31,0.53,0.65,0.62,0.77,0.89,0.92
Char_Z,0.05,0.06,0.11,0.03,0.05,0.03,0.06,0.06,0.03,0.09,0.05
Char_meanZ,0.07,0.05,0.06,0.03,0.04,0.06,0.02,0.04,0.04,0.06,0.06
