,0.0,0.01,0.02,0.030000000000000006,0.04,0.05,0.06000000000000001,0.07,0.08,0.09,0.1
cor_Z,0.07,0.18,0.13,0.21,0.29,0.52,0.61,0.69,0.67,0.89,0.92
noZ,0.07,0.17,0.14,0.23,0.31,0.54,0.61,0.71,0.71,0.9,0.92
XY_Z,0.07,0.18,0.13,0.21,0.29,0.52,0.61,0.69,0.67,0.89,0.92
XY_meanZ,0.07,0.16,0.14,0.23,0.3,0.53,0.61,0.71,0.69,0.9,0.91
XY_noZ,0.07,0.17,0.14,0.23,0.31,0.54,0.61,0.71,0.71,0.9,0.92
Char_Z,0.05,0.05,0.09,0.02,0.08,0.05,0.03,0.09,0.03,0.09,0.05
Char_meanZ,0.05,0.06,0.07,0.1,0.05,0.08,0.1,0.08,0.08,0.05,0.08
