,0.0,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0
double_Z,0.06,0.1,0.26,0.44,0.74,0.75,0.95,0.94,0.97
double_meanZ,0.06,0.1,0.26,0.44,0.74,0.75,0.94,0.94,0.97
noZ,0.03,0.2,0.48,0.68,0.96,1.0,1.0,1.0,1.0
