,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.02,0.09,0.11,0.16,0.26,0.4,0.43,0.64,0.74,0.91,0.92
noZ,0.03,0.07,0.13,0.2,0.33,0.48,0.45,0.7,0.79,0.95,0.92
XY_Z,0.02,0.09,0.11,0.16,0.26,0.39,0.43,0.64,0.74,0.91,0.92
XY_meanZ,0.02,0.09,0.11,0.17,0.29,0.41,0.42,0.64,0.74,0.92,0.92
XY_noZ,0.03,0.07,0.13,0.2,0.33,0.48,0.45,0.7,0.79,0.95,0.92
Char_Z,0.08,0.02,0.08,0.03,0.02,0.04,0.07,0.04,0.13,0.07,0.05
Char_meanZ,0.04,0.04,0.03,0.06,0.03,0.09,0.1,0.07,0.07,0.05,0.05
