,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.04,0.04,0.09,0.14,0.3,0.42,0.63,0.6,0.74,0.78,0.9
noZ,0.05,0.07,0.13,0.19,0.38,0.54,0.7,0.69,0.84,0.86,0.9
XY_Z,0.04,0.04,0.09,0.14,0.3,0.42,0.63,0.6,0.74,0.78,0.9
XY_meanZ,0.04,0.04,0.09,0.14,0.3,0.43,0.61,0.58,0.75,0.78,0.9
XY_noZ,0.05,0.07,0.13,0.19,0.38,0.54,0.7,0.69,0.84,0.86,0.9
Char_Z,0.05,0.06,0.08,0.08,0.02,0.06,0.08,0.11,0.07,0.04,0.07
Char_meanZ,0.03,0.08,0.03,0.04,0.05,0.03,0.1,0.06,0.07,0.09,0.08
