,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.06,0.19,0.16,0.26,0.45,0.61,0.64,0.77,0.89,0.92,0.95
noZ,0.43,0.75,0.78,0.89,0.91,0.95,0.99,0.98,1.0,1.0,1.0
XY_Z,0.04,0.15,0.12,0.22,0.37,0.52,0.6,0.68,0.83,0.87,0.88
XY_meanZ,0.43,0.75,0.78,0.88,0.91,0.95,0.99,0.98,1.0,1.0,1.0
XY_noZ,0.43,0.75,0.78,0.89,0.91,0.95,0.99,0.98,1.0,1.0,1.0
Char_Z,0.06,0.08,0.12,0.09,0.04,0.06,0.12,0.1,0.1,0.06,0.13
Char_meanZ,0.09,0.05,0.02,0.07,0.06,0.07,0.07,0.05,0.12,0.03,0.11
