,2,5,10,16,25,50
double_Z,0.72,0.82,0.9,0.95,0.93,0.81
double_meanZ,0.72,0.8,0.9,0.95,0.93,0.81
noZ,0.72,0.8,0.9,0.95,0.95,0.81
