,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.08,0.08,0.1,0.17,0.29,0.49,0.58,0.67,0.75,0.86,0.92
noZ,0.14,0.15,0.2,0.3,0.42,0.56,0.72,0.77,0.85,0.94,0.95
XY_Z,0.08,0.08,0.1,0.17,0.28,0.49,0.58,0.67,0.75,0.86,0.92
XY_meanZ,0.13,0.12,0.18,0.22,0.31,0.52,0.67,0.72,0.81,0.88,0.93
XY_noZ,0.14,0.15,0.2,0.3,0.42,0.56,0.72,0.77,0.85,0.94,0.95
Char_Z,0.04,0.04,0.06,0.05,0.03,0.02,0.07,0.05,0.02,0.13,0.08
Char_meanZ,0.02,0.04,0.06,0.06,0.03,0.04,0.04,0.04,0.07,0.1,0.07
