,2,5,10,16,25,50
double_Z,0.43,0.5,0.42,0.48,0.45,0.3
double_meanZ,0.07,0.33,0.38,0.43,0.44,0.31
noZ,0.01,0.4,0.53,0.55,0.52,0.36
resid_Z,0.0,0.0,0.0,0.0,0.0,0.0
