,2,5,32,16,25,50
cor_Z,0.06,0.06,0.05,0.04,0.08,0.04
noZ,0.98,0.16,0.05,0.05,0.09,0.03
XY_Z,0.03,0.06,0.05,0.04,0.08,0.04
XY_meanZ,0.97,0.09,0.04,0.03,0.11,0.03
XY_noZ,0.98,0.14,0.05,0.05,0.09,0.03
