,0.0,0.01,0.02,0.030000000000000006,0.04,0.05,0.06000000000000001,0.07,0.08,0.09,0.1
cor_Z,1.0,0.1,0.12,0.26,0.35,0.45,0.54,0.66,0.78,0.85,0.93
noZ,1.0,0.13,0.14,0.26,0.37,0.47,0.58,0.67,0.81,0.86,0.95
XY_Z,0.53,0.1,0.11,0.26,0.33,0.44,0.53,0.66,0.78,0.85,0.93
XY_meanZ,1.0,0.13,0.14,0.26,0.37,0.47,0.58,0.67,0.81,0.86,0.95
XY_noZ,1.0,0.13,0.14,0.26,0.37,0.47,0.58,0.67,0.81,0.86,0.95
Char_Z,0.12,0.06,0.07,0.04,0.05,0.03,0.05,0.06,0.1,0.05,0.05
Char_meanZ,0.11,0.01,0.02,0.06,0.07,0.04,0.05,0.05,0.06,0.1,0.06
