,2,5,10,16,25,50
double_Z,0.03,0.02,0.09,0.07,0.01,0.03
double_meanZ,0.45,0.03,0.07,0.05,0.02,0.03
noZ,0.58,0.1,0.09,0.05,0.07,0.04
resid_Z,0.05,0.01,0.09,0.05,0.01,0.03
