,0.0,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0
double_Z,0.04,0.11,0.31,0.49,0.75,0.83,0.92,0.92,0.96
double_meanZ,0.04,0.11,0.32,0.5,0.75,0.83,0.92,0.92,0.96
noZ,0.05,0.27,0.57,0.81,0.97,1.0,1.0,1.0,1.0
