,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.19,0.22,0.42,0.49,0.53,0.75,0.83,0.87,0.96,0.99,0.98
noZ,0.68,0.74,0.81,0.89,0.93,0.95,0.99,0.99,0.99,1.0,1.0
XY_Z,0.12,0.14,0.33,0.33,0.4,0.6,0.69,0.78,0.91,0.94,0.97
XY_meanZ,0.68,0.74,0.81,0.89,0.93,0.95,0.99,0.99,0.99,1.0,1.0
XY_noZ,0.68,0.74,0.81,0.89,0.93,0.95,0.99,0.99,0.99,1.0,1.0
Char_Z,0.07,0.11,0.03,0.08,0.06,0.14,0.1,0.0,0.06,0.13,0.04
Char_meanZ,0.11,0.05,0.04,0.05,0.04,0.08,0.05,0.06,0.08,0.11,0.15
