,0.0,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0
double_Z,0.03,0.11,0.3,0.77,0.95,1.0,1.0,1.0,1.0
double_meanZ,0.03,0.12,0.29,0.77,0.95,1.0,1.0,1.0,1.0
noZ,0.03,0.22,0.46,0.85,0.97,1.0,1.0,1.0,1.0
