,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.06,0.16,0.14,0.35,0.44,0.47,0.62,0.76,0.9,0.98,0.96
noZ,0.08,0.18,0.16,0.47,0.57,0.55,0.67,0.85,0.92,0.98,0.99
XY_Z,0.07,0.14,0.12,0.33,0.42,0.46,0.62,0.76,0.89,0.96,0.96
XY_meanZ,0.08,0.18,0.16,0.47,0.57,0.55,0.67,0.85,0.92,0.98,0.99
XY_noZ,0.08,0.18,0.16,0.47,0.57,0.55,0.67,0.85,0.92,0.98,0.99
Char_Z,0.08,0.04,0.04,0.07,0.07,0.03,0.05,0.08,0.1,0.07,0.06
Char_meanZ,0.09,0.08,0.05,0.09,0.01,0.04,0.05,0.06,0.06,0.05,0.08
