,2,5,10,16,25,50
double_Z,1.0,0.99,0.8,0.66,0.34,0.16
double_meanZ,0.29,0.2,0.16,0.12,0.07,0.1
noZ,0.15,0.12,0.12,0.1,0.08,0.08
resid_Z,1.0,0.78,0.26,0.18,0.1,0.1
