,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.06,0.08,0.09,0.15,0.12,0.28,0.29,0.4,0.53,0.51,0.59
noZ,0.06,0.09,0.05,0.13,0.16,0.32,0.26,0.32,0.49,0.41,0.46
XY_Z,0.06,0.08,0.07,0.15,0.12,0.28,0.26,0.39,0.53,0.51,0.59
XY_meanZ,0.06,0.08,0.09,0.14,0.13,0.28,0.27,0.37,0.53,0.51,0.58
XY_noZ,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Char_Z,0.02,0.09,0.05,0.03,0.05,0.09,0.04,0.05,0.08,0.06,0.08
Char_meanZ,0.04,0.08,0.05,0.09,0.08,0.03,0.06,0.0,0.04,0.04,0.05
