,0.0,0.01,0.02,0.030000000000000006,0.04,0.05,0.06000000000000001,0.07,0.08,0.09,0.1
cor_Z,0.05,0.06,0.08,0.1,0.16,0.31,0.39,0.36,0.37,0.59,0.58
noZ,0.05,0.04,0.07,0.15,0.18,0.29,0.36,0.38,0.4,0.57,0.55
XY_Z,0.05,0.06,0.08,0.1,0.16,0.31,0.39,0.36,0.37,0.59,0.58
XY_meanZ,0.05,0.06,0.08,0.1,0.16,0.31,0.39,0.36,0.36,0.58,0.58
XY_noZ,0.03,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Char_Z,0.0,0.01,0.07,0.06,0.08,0.06,0.06,0.06,0.02,0.09,0.06
Char_meanZ,0.04,0.05,0.02,0.05,0.05,0.02,0.04,0.1,0.04,0.04,0.07
