,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.05,0.13,0.12,0.33,0.34,0.37,0.54,0.61,0.81,0.92,0.96
noZ,0.08,0.14,0.25,0.39,0.45,0.44,0.67,0.74,0.86,0.95,0.97
XY_Z,0.05,0.13,0.12,0.33,0.34,0.36,0.54,0.61,0.81,0.92,0.96
XY_meanZ,0.07,0.12,0.22,0.36,0.42,0.41,0.64,0.71,0.85,0.92,0.95
XY_noZ,0.08,0.14,0.25,0.39,0.45,0.44,0.67,0.74,0.86,0.95,0.97
Char_Z,0.06,0.04,0.08,0.03,0.04,0.06,0.08,0.06,0.02,0.06,0.03
Char_meanZ,0.05,0.03,0.07,0.05,0.08,0.06,0.05,0.03,0.08,0.04,0.02
