,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.06,0.08,0.1,0.14,0.25,0.38,0.54,0.7,0.77,0.91,0.93
noZ,0.07,0.1,0.16,0.19,0.3,0.41,0.65,0.78,0.83,0.93,0.96
XY_Z,0.05,0.08,0.1,0.13,0.25,0.38,0.52,0.68,0.75,0.9,0.92
XY_meanZ,0.06,0.08,0.13,0.14,0.26,0.38,0.57,0.7,0.8,0.9,0.93
XY_noZ,0.07,0.1,0.16,0.19,0.3,0.41,0.65,0.78,0.83,0.93,0.96
Char_Z,0.04,0.04,0.02,0.06,0.05,0.1,0.05,0.04,0.04,0.1,0.09
Char_meanZ,0.05,0.03,0.02,0.06,0.03,0.08,0.04,0.04,0.05,0.06,0.1
