,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.08,0.06,0.13,0.21,0.28,0.35,0.52,0.58,0.72,0.86,0.9
noZ,0.07,0.1,0.21,0.3,0.35,0.51,0.6,0.64,0.78,0.88,0.93
XY_Z,0.08,0.06,0.13,0.21,0.28,0.35,0.52,0.58,0.72,0.86,0.9
XY_meanZ,0.08,0.06,0.13,0.21,0.28,0.34,0.52,0.58,0.73,0.86,0.9
XY_noZ,0.07,0.1,0.21,0.3,0.35,0.51,0.6,0.64,0.78,0.88,0.93
Char_Z,0.07,0.09,0.05,0.03,0.02,0.04,0.02,0.06,0.09,0.04,0.08
Char_meanZ,0.02,0.07,0.06,0.07,0.06,0.05,0.01,0.07,0.05,0.1,0.12
