,0.0,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0
double_Z,0.05,0.05,0.34,0.6,0.79,0.87,0.95,0.97,1.0
double_meanZ,0.01,0.06,0.34,0.59,0.79,0.87,0.95,0.97,1.0
noZ,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
