,0.0,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0
double_Z,0.06,0.12,0.5,0.85,0.99,1.0,1.0,1.0,1.0
double_meanZ,0.06,0.13,0.5,0.85,0.99,1.0,1.0,1.0,1.0
noZ,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
