,0.0,0.015,0.03,0.045,0.06,0.075,0.09,0.10500000000000001,0.12,0.13499999999999998,0.15
cor_Z,0.05,0.08,0.08,0.17,0.21,0.38,0.5,0.6,0.65,0.75,0.84
noZ,0.05,0.08,0.09,0.18,0.23,0.36,0.52,0.5,0.62,0.67,0.8
XY_Z,0.05,0.08,0.08,0.17,0.21,0.38,0.5,0.6,0.65,0.75,0.84
XY_meanZ,0.05,0.08,0.09,0.17,0.21,0.38,0.5,0.59,0.64,0.76,0.84
XY_noZ,0.03,0.05,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Char_Z,0.04,0.01,0.03,0.04,0.05,0.06,0.09,0.03,0.06,0.04,0.1
Char_meanZ,0.05,0.08,0.03,0.03,0.04,0.06,0.05,0.05,0.05,0.05,0.09
